iter	Logloss
165	0.1171601525
166	0.1167492219
167	0.1163459419
168	0.115841958
169	0.1154150078
170	0.1150796526
171	0.1147051254
172	0.1143319613
173	0.1139706958
174	0.1136534419
175	0.1131637658
176	0.1128359766
177	0.1124879515
178	0.112203561
179	0.1118503264
180	0.1115478558
181	0.1112614153
182	0.111029057
183	0.1106192359
184	0.1103607135
185	0.1102058009
186	0.1098694947
187	0.1094852775
188	0.1092077451
189	0.1088648239
190	0.1086008595
191	0.1083801354
192	0.1080965164
193	0.1078571203
194	0.1076381081
195	0.1073264653
196	0.107122025
197	0.1069470984
198	0.1065950896
199	0.1062448877
200	0.1059530263
201	0.1057536688
202	0.1055295738
203	0.1051861243
204	0.1048803145
205	0.1046401787
206	0.1042727737
207	0.1041474805
208	0.1037858134
209	0.1036382448
210	0.1034971961
211	0.1033731815
212	0.1032660001
213	0.1029272
214	0.1026186639
215	0.1024322615
216	0.1021823619
217	0.1020574702
218	0.1019405143
219	0.1018093669
220	0.1014284889
221	0.1011745633
222	0.1009883299
223	0.1007308643
224	0.1005949406
225	0.1002172327
226	0.1000991568
227	0.09998051017
228	0.09986260327
229	0.09960370051
230	0.09930804562
231	0.09911948756
232	0.09902514513
233	0.09880060634
234	0.09857591962
235	0.09828155391
236	0.0979784387
237	0.09771322742
238	0.0975568037
239	0.09730760146
240	0.09704739896
241	0.09674915514
242	0.09663156525
243	0.09652006197
244	0.09639828753
245	0.0960946017
246	0.09577358595
247	0.09555461598
248	0.09539513839
249	0.09511760595
250	0.09503632437
251	0.09492097469
252	0.0948318101
253	0.09460722905
254	0.09452684566
255	0.09441270062
256	0.0941734314
257	0.09399054784
258	0.09379946426
259	0.09364747869
260	0.0933614715
261	0.09315915517
262	0.09291366197
263	0.0928484634
264	0.0927900066
265	0.09259799313
266	0.09244449647
267	0.09216997564
268	0.09203690505
269	0.09196601086
270	0.09166696395
271	0.09158626356
272	0.09150243532
273	0.09142857179
274	0.09127593107
275	0.0912136807
276	0.09104116339
277	0.09096147743
278	0.09087192187
279	0.09080505371
280	0.09072265202
281	0.09050459082
282	0.09040773344
283	0.09021733672
284	0.09010315998
285	0.09004292792
286	0.089903105
287	0.08982371491
288	0.08959031039
289	0.08936389067
290	0.08930175654
291	0.08924947089
292	0.08899864133
293	0.08874826616
294	0.0886441598
295	0.08853111373
296	0.08847564211
297	0.08820227837
298	0.0880317371
299	0.08783417593
300	0.08775883302
301	0.08769186448
302	0.08761094746
303	0.08754567492
304	0.08731014114
305	0.08725145715
306	0.08695558035
307	0.08689248463
308	0.08684721548
309	0.08674755783
310	0.08657425328
311	0.08650210161
312	0.08640834565
313	0.08624051482
314	0.08601112049
315	0.08584778593
316	0.08579101985
317	0.08560151076
318	0.08554059713
319	0.08546614713
320	0.08541677797
321	0.08536080442
322	0.08510672022
323	0.08481845169
324	0.08477102158
325	0.08470760884
326	0.08446513781
327	0.08441185885
328	0.08435622873
329	0.08421417617
330	0.0840967078
331	0.08402588229
332	0.08378315764
333	0.08371112221
334	0.08353848867
335	0.08346366354
336	0.08339464499
337	0.08333838613
338	0.0832696846
339	0.08322083851
340	0.08315699781
341	0.08295115209
342	0.08283138539
343	0.08265790649
344	0.08260146799
345	0.08251901347
346	0.08242845403
347	0.08235232388
348	0.08228454167
349	0.08220943123
350	0.08214867082
351	0.08202862938
352	0.08190775314
353	0.08185449532
354	0.08180085708
355	0.08172158852
356	0.08167995971
357	0.08162083718
358	0.08156137651
359	0.08134487923
360	0.08113534563
361	0.08108091486
362	0.08102382121
363	0.08096476209
364	0.08090604111
365	0.08068556006
366	0.08051567395
367	0.08035239751
368	0.08029220243
369	0.08024229435
370	0.08009679166
371	0.08002710739
372	0.07974259015
373	0.07968670113
374	0.07947017744
375	0.07942024294
376	0.07936112042
377	0.07916081711
378	0.07893600358
379	0.07887606211
380	0.0788172566
381	0.07868173446
382	0.07862268591
383	0.07856321467
384	0.07849217254
385	0.07843437618
386	0.07838013033
387	0.07831186205
388	0.07823949375
389	0.07800308819
390	0.07777046563
391	0.07770581655
392	0.07765096839
393	0.07757989984
394	0.07752998648
395	0.07747750533
396	0.07740830715
397	0.07734247456
398	0.07729393491
399	0.07722892127
400	0.07706733027
401	0.07688399761
402	0.07669947616
403	0.07645959405
404	0.07640847077
405	0.07635082234
406	0.07629768604
407	0.07624022254
408	0.07600289236
409	0.07595231857
410	0.07573770222
411	0.0756803074
412	0.07561800949
413	0.07556704471
414	0.07544811809
415	0.07539519841
416	0.07532997871
417	0.0752566224
418	0.07509924764
419	0.0750566361
420	0.07499901938
421	0.07483296381
422	0.07469753149
423	0.07464698939
424	0.07454985727
425	0.07448668757
426	0.07442986866
427	0.0743744763
428	0.07432213252
429	0.07418972237
430	0.07404099673
431	0.07398954059
432	0.07393051317
433	0.07388011901
434	0.07382193166
435	0.07376688273
436	0.07372389606
437	0.0736647841
438	0.07361336494
439	0.07348034719
440	0.07342491784
441	0.07336661954
442	0.07330761854
443	0.07325242695
444	0.07303701808
445	0.07297099528
446	0.07291953385
447	0.07277563206
448	0.07270391892
449	0.07252688421
450	0.07231096284
451	0.07225096853
452	0.07219549163
453	0.07203712358
454	0.07198447336
455	0.07193584389
456	0.07187657343
457	0.07182865196
458	0.07177689993
459	0.07158627603
460	0.07140911451
461	0.07135999896
462	0.07130814655
463	0.07125469852
464	0.0711752873
465	0.07112041273
466	0.07106766212
467	0.07102182763
468	0.07097138064
469	0.07092233906
470	0.07087257364
471	0.07082619495
472	0.07078340906
473	0.07073752173
474	0.07050762018
475	0.07046384098
476	0.07040714359
477	0.07035534402
478	0.07030915554
479	0.07026152994
480	0.07021173282
481	0.07016493145
482	0.07011115056
483	0.0699594186
484	0.06976650164
485	0.06969260641
486	0.06964544576
487	0.06959692197
488	0.06955381906
489	0.06950374191
490	0.06943218728
491	0.06915935717
492	0.06910668053
493	0.06906132156
494	0.06901816582
495	0.0689717977
496	0.06876250713
497	0.06871728025
498	0.06867009319
499	0.06862243061
500	0.06838951217
501	0.06834317575
502	0.0681676891
503	0.06812090887
504	0.06807523817
505	0.06795001889
506	0.06790057576
507	0.06783267203
508	0.06778799464
509	0.06774312175
510	0.06758016232
511	0.06753968532
512	0.0674923556
513	0.06726445121
514	0.067068734
515	0.06688014424
516	0.066831668
517	0.06677269341
518	0.06673196808
519	0.06668012624
520	0.0664589689
521	0.0663502289
522	0.06630155188
523	0.06625981212
524	0.0662164873
525	0.06617378594
526	0.06597274294
527	0.0659302265
528	0.06587265205
529	0.0656195453
530	0.06557170836
531	0.06534648272
532	0.06529644255
533	0.06525451259
534	0.06521314795
535	0.06516899362
536	0.06511871042
537	0.06507661666
538	0.06502299428
539	0.06496505526
540	0.06492214256
541	0.06488071981
542	0.06482151803
543	0.0647798311
544	0.06473552883
545	0.06469807929
546	0.06464858332
547	0.064607858
548	0.06438695955
549	0.06434600703
550	0.06424055866
551	0.06419949518
552	0.0641391099
553	0.06409964733
554	0.06405943451
555	0.06402092825
556	0.06395419219
557	0.06391360423
558	0.06387256189
559	0.06381359787
560	0.06361095397
561	0.06357033431
562	0.06353048076
563	0.06337220253
564	0.06318044795
565	0.06314166167
566	0.06293848941
567	0.06285825925
568	0.06281879668
569	0.06271743246
570	0.0626260805
571	0.06258760067
572	0.06254937972
573	0.06250952618
574	0.06247155356
575	0.06243299447
576	0.06236521755
577	0.06214862517
578	0.061986062
579	0.06194733385
580	0.06189593582
581	0.0617745418
582	0.06173940643
583	0.06152185245
584	0.06148328279
585	0.06144583324
586	0.06138487206
587	0.06134397766
588	0.06112112959
589	0.06108403932
590	0.06084559433
591	0.06078139435
592	0.06074431464
593	0.0605974488
594	0.06056156317
595	0.06052580435
596	0.06049075351
597	0.06030972446
598	0.06027320481
599	0.06023948014
600	0.06018146716
601	0.06014508488
602	0.05990210663
603	0.05986714033
604	0.05983280805
605	0.05979880336
606	0.05976574441
607	0.05971372821
608	0.0596799507
609	0.05955457819
610	0.05939877793
611	0.05936546537
612	0.05931184298
613	0.05912016766
614	0.05908714041
615	0.05888256802
616	0.05868966692
617	0.05851604007
618	0.05835215603
619	0.05831956731
620	0.05828671442
621	0.05823392683
622	0.05820008592
623	0.05807467643
624	0.05802097479
625	0.05788432726
626	0.05782677394
627	0.05775525101
628	0.05768857834
629	0.0576551337
630	0.05762230194
631	0.05759060086
632	0.0575577374
633	0.05740558276
634	0.05737407188
635	0.05717764667
636	0.05714552819
637	0.05697670934
638	0.05680987709
639	0.05677831866
640	0.05674691346
641	0.05669248798
642	0.05653028409
643	0.05649958687
644	0.05646899004
645	0.05641884421
646	0.05638826323
647	0.05622609104
648	0.05604435929
649	0.05601394738
650	0.05595869239
651	0.05590520209
652	0.05587485887
653	0.05584453678
654	0.05572097652
655	0.05554655186
656	0.05551605542
657	0.05529847502
658	0.05526817406
659	0.05515907478
660	0.05498450747
661	0.05493704038
662	0.05490789651
663	0.05474071027
664	0.05471080558
665	0.05463269939
666	0.05458288642
667	0.05445403207
668	0.05442538486
669	0.05439615646
670	0.05432879694
671	0.0541859677
672	0.0540533145
673	0.05402433443
674	0.05399560268
675	0.05384595242
676	0.05372069615
677	0.05369251389
678	0.05366475959
679	0.05361673244
680	0.05343212645
681	0.05329222428
682	0.05326385709
683	0.05323609751
684	0.0530993813
685	0.05307153718
686	0.05302216802
687	0.05299451939
688	0.05293480511
689	0.05290734669
690	0.05275524488
691	0.05271118566
692	0.0526185181
693	0.05259168313
694	0.0525645153
695	0.05241807214
696	0.05239102583
697	0.05227448207
698	0.05224813319
699	0.05222186884
700	0.05216464309
701	0.05199336213
702	0.05195060793
703	0.05178275069
704	0.0517567241
705	0.051714065
706	0.05168760516
707	0.05155087838
708	0.05146421818
709	0.05143796968
710	0.0514121016
711	0.05138592707
712	0.05124377412
713	0.05121771583
714	0.05119182132
715	0.05102576575
716	0.05099995579
717	0.05097474286
718	0.05093336766
719	0.05080697015
720	0.05078137152
721	0.05065446151
722	0.05062882061
723	0.05060355485
724	0.05053812381
725	0.05040077357
726	0.05031892666
727	0.0501868705
728	0.0501621595
729	0.0501371949
730	0.04998750238
731	0.04993623115
732	0.04991137222
733	0.04988724241
734	0.04970952613
735	0.04960995302
736	0.04944800802
737	0.04942353478
738	0.04926040628
739	0.04915113793
740	0.04900396564
741	0.04897948712
742	0.04893563395
743	0.04881385951
744	0.04879017352
745	0.04876617051
746	0.04874197202
747	0.04871785277
748	0.04862203096
749	0.04858308089
750	0.04855904619
751	0.04845883906
752	0.04843487304
753	0.048323803
754	0.04830012229
755	0.04827648913
756	0.04823584306
757	0.04809625261
758	0.04797218513
759	0.04785041598
760	0.04782754364
761	0.04780388407
762	0.0477658005
763	0.04774312894
764	0.047642124
765	0.04753160873
766	0.04750844052
767	0.04748525118
768	0.04744094891
769	0.04737927973
770	0.04735607454
771	0.04733341883
772	0.04731091106
773	0.04728885239
774	0.04725174626
775	0.04711898212
776	0.04709797487
777	0.04701027381
778	0.04698572132
779	0.0469480076
780	0.04686210294
781	0.04683788331
782	0.04678614186
783	0.04676307403
784	0.04672334729
785	0.04669984094
786	0.04655733399
787	0.04638969865
788	0.04626870089
789	0.04624727096
790	0.04612693892
791	0.04608915123
792	0.04594279789
793	0.04592124115
794	0.0458799452
795	0.04585831978
796	0.04583692683
797	0.04571682198
798	0.0456958253
799	0.04567465426
800	0.04565345151
801	0.04556345213
802	0.04554276189
803	0.04550903194
804	0.04543890913
805	0.04541791773
806	0.04527937871
807	0.04525842429
808	0.04509132787
809	0.04507075386
810	0.04498608026
811	0.04494986706
812	0.04492946213
813	0.04490883
814	0.04485775955
815	0.04472374322
816	0.04470350736
817	0.04459710266
818	0.04457667132
819	0.04454333234
820	0.04452287457
821	0.04438307279
822	0.04426267207
823	0.04424232261
824	0.04422212638
825	0.044187345
826	0.04412509464
827	0.04410587586
828	0.04399967458
829	0.0439807596
830	0.04387617772
831	0.04375758396
832	0.04373828328
833	0.04370570249
834	0.04368592894
835	0.04366672865
836	0.04363073999
837	0.04347759469
838	0.0433466058
839	0.04332695906
840	0.04330747081
841	0.04322264399
842	0.04314669876
843	0.04304697771
844	0.04302787781
845	0.04300857449
846	0.04290300723
847	0.0428253792
848	0.04278783191
849	0.04276894334
850	0.04266709832
851	0.04264765235
852	0.04262871359
853	0.04252376979
854	0.04249253894
855	0.04247329638
856	0.0423562005
857	0.04221265534
858	0.04217963602
859	0.04216065235
860	0.04214162906
861	0.04212285409
862	0.04205253052
863	0.04203401444
864	0.04201542968
865	0.04199725703
866	0.04188952618
867	0.04185971395
868	0.04178995835
869	0.04177190194
870	0.04171510945
871	0.04169657488
872	0.04167846828
873	0.0416485583
874	0.04154040741
875	0.04152225061
876	0.04142140418
877	0.04134085436
878	0.04132325233
879	0.04130565823
880	0.04119620495
881	0.04115678993
882	0.04113899506
883	0.04104257621
884	0.04095351993
885	0.04083458539
886	0.04081675088
887	0.04079910659
888	0.04076831162
889	0.0407508681
890	0.0406679275
891	0.04057967696
892	0.04056210399
893	0.04043783045
894	0.04042014653
895	0.04039155479
896	0.04034560671
897	0.0403283666
898	0.04031119783
899	0.04027722747
900	0.04024576414
901	0.04016669899
902	0.04015005857
903	0.04013324642
904	0.04011661128
905	0.04008881471
906	0.03999680495
907	0.03985983513
908	0.03984306526
909	0.03982622141
910	0.03980957042
911	0.03972347291
912	0.03964270647
913	0.03962628267
914	0.03949674675
915	0.03942921815
916	0.0394125698
917	0.03939645772
918	0.03938020299
919	0.03933217585
920	0.03931589734
921	0.03929991471
922	0.03920658143
923	0.03917977817
924	0.03916378233
925	0.03907197334
926	0.03903555144
927	0.03897795849
928	0.03896224003
929	0.03885883902
930	0.03884297791
931	0.03882704019
932	0.03881127682
933	0.0387341745
934	0.03871841906
935	0.03869239247
936	0.03860692634
937	0.03859129771
938	0.03850294414
939	0.03848728909
940	0.03837936275
941	0.03829094842
942	0.03826339489
943	0.03824794854
944	0.03823291694
945	0.03818559515
946	0.03807864625
947	0.03804582506
948	0.03802003623
949	0.0380045027
950	0.03793725677
951	0.03791200157
952	0.03789685638
953	0.037789004
954	0.03777406486
955	0.03768406548
956	0.03766880405
957	0.0376537434
958	0.03763881747
959	0.03755726643
960	0.03754259675
961	0.03747310797
962	0.03742164126
963	0.03740660438
964	0.03739173657
965	0.03737742353
966	0.03736329013
967	0.03734858611
968	0.03723955022
969	0.03721472299
970	0.03720015106
971	0.03708771259
972	0.03706232002
973	0.03704785904
974	0.03692465806
975	0.0368907696
976	0.03687619238
977	0.0368620854
978	0.03684775651
979	0.03683354121
980	0.03673248608
981	0.0366727084
982	0.03659447276
983	0.03658042918
984	0.03656616898
985	0.03654258073
986	0.03651860942
987	0.0365043545
988	0.03644325066
989	0.0364013973
990	0.0363872639
991	0.03630412252
992	0.03629007102
993	0.03625971194
994	0.0361307308
995	0.03611664495
996	0.0360281091
997	0.03601401268
998	0.03600040235
999	0.03588094738
